n_samples,history_size_s,batch_size,runs,batch_us_mean,batch_us_std_across_runs,dropped_total_mean,q_peak_p95_mean,heap8_free_min_b_mean,proc_hz_mean
1000,4,1,1,8403.7,0.0,5248.0,500.0,200824.0,118.64
1000,4,8,1,9944.6,0.0,0.0,2.0,200856.0,249.97
1000,4,16,1,11647.8,0.0,0.0,2.0,200824.0,249.97
1000,4,32,1,14978.4,0.0,0.0,2.0,200824.0,250.38
1000,4,64,1,21422.2,0.0,0.0,4.0,200824.0,250.38
1000,4,128,1,33348.5,0.0,0.0,1.0,200920.0,252.0
2500,10,1,1,26842.8,0.0,19408.0,500.0,149340.0,37.34
2500,10,8,1,31624.9,0.0,0.0,7.0,149340.0,250.0
2500,10,16,1,37089.9,0.0,0.0,9.0,149560.0,249.92
2500,10,32,1,47968.6,0.0,0.0,11.0,149560.0,250.03
2500,10,64,1,69492.5,0.0,0.0,17.0,149560.0,250.39
2500,10,128,1,111579.0,0.0,0.0,26.0,149656.0,250.27
5000,20,1,1,56644.5,0.0,26231.0,500.0,62396.0,17.7
5000,20,8,1,67304.7,0.0,11759.0,500.0,62520.0,119.17
5000,20,16,1,79079.2,0.0,4002.0,500.0,62520.0,202.18
5000,20,32,1,102580.8,0.0,0.0,25.0,62520.0,249.92
5000,20,64,1,149270.2,0.0,0.0,37.0,62520.0,249.57
5000,20,128,3,241770.0,0.0,0.0,1.0,62204.0,252.0
