acq,proc,mon,idle0,idle1,other,total_ticks,tasks
1,35,71,15,1,5,96,38,28,75,0,67,4658044,8
1,35,74,5,1,38,96,95,25,45,0,29,10733045,8
1,35,73,15,1,35,97,11,24,75,0,19,16811082,8
1,34,74,24,1,32,97,18,24,51,0,14,22889054,8
1,34,74,88,1,32,97,22,24,36,0,11,28967043,8
1,34,75,29,1,3,97,25,24,27,0,09,35045045,8
1,34,75,59,1,31,97,27,24,2,0,08,41123218,8
1,34,75,81,1,3,97,28,24,14,0,07,47201131,8
1,34,75,97,1,3,97,29,24,02,0,06,53279229,8
1,34,76,09,1,3,97,3,23,9,0,05,59357278,8
1,34,75,59,1,3,97,31,23,9,0,05,65435303,8
1,34,75,72,1,3,97,31,23,9,0,04,71513313,8
1,34,75,84,1,3,97,32,23,9,0,04,77591306,8
1,34,75,94,1,29,97,32,23,89,0,04,83669313,8
1,34,76,03,1,3,97,32,23,89,0,04,89747307,8
1,34,76,1,1,3,97,33,23,89,0,03,95825226,8
1,34,76,17,1,3,97,33,23,82,0,03,101903298,8
1,34,75,87,1,3,97,33,23,77,0,03,107982402,8
1,34,75,95,1,3,97,33,23,77,0,03,114062403,8
1,34,76,01,1,3,97,33,23,77,0,03,120141402,8
1,34,76,07,1,3,97,33,23,77,0,02,126220355,8
1,34,76,13,1,3,97,33,23,78,0,02,132299399,8
1,34,76,17,1,3,97,33,23,78,0,02,138378403,8
1,34,76,22,1,3,97,34,23,78,0,02,144457300,8
1,34,76,26,1,3,97,34,23,74,0,02,150536246,8
1,34,76,05,1,3,97,34,23,71,0,02,156614404,8
1,34,76,09,1,3,97,34,23,71,0,02,162693413,8
1,34,76,14,1,3,97,34,23,71,0,02,168772355,8
1,34,76,18,1,3,97,34,23,72,0,02,174851398,8
1,34,76,21,1,3,97,34,23,72,0,02,180930407,8
